# row	container	cfg	asflags	pins	closest_version	diff_words	words	cause	ablations_that_fix	diff_classes
dungeon/func_8008A31C	dungeon	2.8.0-G0 -fno-rerun-cse-after-loop	--fill-shadowed-return-delay	5	2.67	3	181	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_8008B4B0	dungeon	2.8.1 -G0	--fill-shadowed-return-delay	0	2.67	3	520	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_8008EE88	dungeon	2.95.2-G0	--fill-shadowed-return-delay	22	2.77	3	181	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_8008F814	dungeon	2.8.1-G0	--fill-shadowed-return-delay	2	2.67	3	316	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_80092B48	dungeon	2.8.1	--fill-shadowed-return-delay	3	2.67	3	219	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_80093898	dungeon	2.7.2	--fill-shadowed-return-delay	1	2.56	3	21	_fold_selfinc_la	no:_fold_selfinc_la	other:1,reloc:1
dungeon/func_800938EC	dungeon	2.7.2-G0	--fill-shadowed-return-delay	0	2.56	3	17	_fold_selfinc_la	no:_fold_selfinc_la	other:1,reloc:1
dungeon/func_80094C70	dungeon	2.95.2-G0 -fno-schedule-insns	--fill-shadowed-return-delay	3	2.67	3	92	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_80094DE0	dungeon	2.8.1	--fill-shadowed-return-delay	5	2.67	3	75	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_800969CC	dungeon	2.8.0 -fno-cse-skip-blocks	--fill-shadowed-return-delay	16	2.67	3	516	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay,no:all-fired	delay-slot:2
dungeon/func_800A172C	dungeon	2.95.2-G0 -fno-schedule-insns	--fill-shadowed-return-delay	7	2.67	3	105	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_800A21EC	dungeon	2.8.1	--fill-shadowed-return-delay	3	2.56	3	59	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay,no:all-fired	delay-slot:2
dungeon/func_800A4C0C	dungeon	2.8.0	--fill-shadowed-return-delay	3	2.67	3	103	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_800A4DDC	dungeon	2.8.0 -mno-split-addresses	--fill-shadowed-return-delay	0	2.56	3	42	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_800A5DD8	dungeon	2.8.1-G0 -fno-cse-follow-jumps	--fill-shadowed-return-delay	0	2.67	3	144	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_800AC008	dungeon	2.8.1-G0	--fill-shadowed-return-delay	3	2.67	3	234	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_800AC3B0	dungeon	2.8.0	--fill-shadowed-return-delay	4	2.67	3	220	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay,no:all-fired	delay-slot:2
dungeon/func_800B968C	dungeon	2.95.2-G0 -fno-expensive-optimizations -fno-rerun-cse-after-loop	--fill-shadowed-return-delay	2	2.67	3	162	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_800BB144	dungeon	2.95.2-G0	--fill-shadowed-return-delay	0	2.67	3	175	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_800BB400	dungeon	2.8.1	--fill-shadowed-return-delay	5	2.67	3	202	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_800BFE94	dungeon	2.8.0 -fno-expensive-optimizations	--fill-shadowed-return-delay	16	2.67	3	284	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_800C23D8	dungeon	2.8.1-G0	--fill-shadowed-return-delay	0	2.67	4	135	_unfill_via_load_delay	no:_unfill_via_load_delay	other:2
dungeon/func_800C379C	dungeon	2.91.66-G0	--fill-shadowed-return-delay	4	2.67	3	78	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_800C3928	dungeon	2.8.0	--fill-shadowed-return-delay	8	2.67	7	334	several passes jointly: _rotate_marked_store_into_jal_delay+_maybe_unfill_return_delay	no:all-fired	other:5
dungeon/func_800D1A48	dungeon	2.8.1	--fill-shadowed-return-delay	4	2.56	3	454	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_80284BEC	dungeon	2.8.0-G0	--fill-shadowed-return-delay	9	2.67	3	180	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_8028A328	dungeon	2.95.2-G0	--fill-shadowed-return-delay	3	2.67	3	97	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_8028A5D8	dungeon	2.8.1	--fill-shadowed-return-delay	5	2.67	3	253	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_8028B824	dungeon	2.8.0-G0	--fill-shadowed-return-delay	0	2.67	3	82	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_80A1F0C4	dungeon	2.8.1-G0	--fill-shadowed-return-delay	1	2.67	3	509	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_80A49908	dungeon	2.8.0-G0	--fill-shadowed-return-delay	0	2.67	3	201	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_80A71654	dungeon	2.8.1-G0	--fill-shadowed-return-delay	0	2.67	3	455	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_80AC5F28	dungeon	2.8.1-G0	--fill-shadowed-return-delay	2	2.67	3	363	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_80AEFFF4	dungeon	2.8.1-G0	--fill-shadowed-return-delay	0	2.67	3	354	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_80B9769C	dungeon	2.8.1-G0	--fill-shadowed-return-delay	0	2.67	3	349	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_80B9913C	dungeon	2.8.1-G0	--fill-shadowed-return-delay	0	2.67	3	286	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
dungeon/func_80BA9094	dungeon	2.8.1-G0	--fill-shadowed-return-delay	3	2.67	3	129	_maybe_unfill_return_delay	no:_maybe_unfill_return_delay	delay-slot:2
